Time stamp;Contador;RSSI_DL;PSR;Status LED NodeMCU; Status LED Esp
Fri May 29 21:24:18 2026 ; 1 ; -28.0 ; -28.0 ; 256 ; 0
Fri May 29 21:24:20 2026 ; 2 ; -28.0 ; -29.0 ; 217 ; 0
Fri May 29 21:24:22 2026 ; 3 ; -28.0 ; -28.0 ; 262 ; 0
Fri May 29 21:24:24 2026 ; 4 ; -29.0 ; -29.0 ; 254 ; 0
Fri May 29 21:24:26 2026 ; 5 ; -29.0 ; -29.0 ; 272 ; 0
Fri May 29 21:24:28 2026 ; 6 ; -29.0 ; -29.0 ; 244 ; 0
Fri May 29 21:24:31 2026 ; 7 ; -29.0 ; -29.0 ; 205 ; 0
Fri May 29 21:24:33 2026 ; 8 ; -28.0 ; -29.0 ; 235 ; 0
Fri May 29 21:24:35 2026 ; 9 ; -29.0 ; -28.0 ; 250 ; 0
Fri May 29 21:24:37 2026 ; 10 ; -29.0 ; -28.0 ; 291 ; 0
Fri May 29 21:24:39 2026 ; 11 ; -29.0 ; -28.0 ; 301 ; 0
Fri May 29 21:24:41 2026 ; 12 ; -29.0 ; -29.0 ; 272 ; 0
Fri May 29 21:24:43 2026 ; 13 ; -29.0 ; -29.0 ; 245 ; 0
Fri May 29 21:24:45 2026 ; 14 ; -28.0 ; -28.0 ; 289 ; 0
Fri May 29 21:24:47 2026 ; 15 ; -28.0 ; -28.0 ; 302 ; 0
Fri May 29 21:24:49 2026 ; 16 ; -28.0 ; -28.0 ; 301 ; 0
Fri May 29 21:24:51 2026 ; 17 ; -29.0 ; -29.0 ; 294 ; 0
Fri May 29 21:24:53 2026 ; 18 ; -28.0 ; -29.0 ; 261 ; 0
Fri May 29 21:24:56 2026 ; 19 ; -28.0 ; -29.0 ; 251 ; 0
Fri May 29 21:24:58 2026 ; 20 ; -28.0 ; -28.0 ; 302 ; 0
Fri May 29 21:25:00 2026 ; 21 ; -28.0 ; -29.0 ; 213 ; 0
Fri May 29 21:25:02 2026 ; 22 ; -28.0 ; -28.0 ; 298 ; 0
Fri May 29 21:25:04 2026 ; 23 ; -29.0 ; -28.0 ; 254 ; 0
Fri May 29 21:25:06 2026 ; 24 ; -29.0 ; -28.0 ; 229 ; 0
Fri May 29 21:25:08 2026 ; 25 ; -29.0 ; -28.0 ; 251 ; 0
Fri May 29 21:25:10 2026 ; 26 ; -29.0 ; -29.0 ; 288 ; 0
Fri May 29 21:25:12 2026 ; 27 ; -29.0 ; -28.0 ; 290 ; 0
Fri May 29 21:25:15 2026 ; 28 ; -29.0 ; -29.0 ; 187 ; 0
Fri May 29 21:25:17 2026 ; 29 ; -29.0 ; -28.0 ; 297 ; 0
Fri May 29 21:25:19 2026 ; 30 ; -29.0 ; -28.0 ; 241 ; 0
Fri May 29 21:25:21 2026 ; 31 ; -28.0 ; -29.0 ; 305 ; 0
Fri May 29 21:25:23 2026 ; 32 ; -28.0 ; -28.0 ; 292 ; 0
Fri May 29 21:25:25 2026 ; 33 ; -28.0 ; -29.0 ; 286 ; 0
Fri May 29 21:25:27 2026 ; 34 ; -28.0 ; -29.0 ; 285 ; 0
Fri May 29 21:25:29 2026 ; 35 ; -29.0 ; -28.0 ; 293 ; 0
Fri May 29 21:25:31 2026 ; 36 ; -29.0 ; -29.0 ; 260 ; 0
Fri May 29 21:25:33 2026 ; 37 ; -28.0 ; -28.0 ; 262 ; 0
Fri May 29 21:25:36 2026 ; 38 ; -28.0 ; -28.0 ; 293 ; 0
Fri May 29 21:25:38 2026 ; 39 ; -29.0 ; -29.0 ; 193 ; 0
Fri May 29 21:25:40 2026 ; 40 ; -29.0 ; -29.0 ; 208 ; 0
